,deal_id,deal_size,deal_date,ceo_id,network,smile,tweet_count,ebk_v,ebk_a,ebk_d
663,168746-23T,14.97,18-Mar-2021,214819-84P,1925.0,rewarding,113.0,0.509619355201721,0.517647624015808,0.531819105148315
664,175732-12T,14.98,21-Sep-2021,267870-07P,214.0,rewarding,1.0,0.49347597360611,0.511387884616852,0.524510800838471
665,180732-88T,15.01,27-Sep-2021,228212-83P,2887.0,dominant,144.0,0.514130830764771,0.519347190856934,0.534298241138458
666,182882-44T,15.02,26-Oct-2021,131380-39P,538.0,rewarding,2.0,0.512739360332489,0.527885138988495,0.535234153270721
667,169172-92T,15.02,24-Mar-2021,186896-53P,7555.0,rewarding,11.0,0.527722656726837,0.51742559671402,0.542256593704224
668,180929-17T,15.06,20-Dec-2021,204187-24P,266.0,dominant,20.0,0.524741053581238,0.520876407623291,0.543062210083008
669,170946-10T,15.09,13-May-2021,110437-75P,6418.0,rewarding,26.0,0.506633341312408,0.514237344264984,0.531649947166443
670,179067-52T,15.13,01-Sep-2021,199993-06P,75.0,rewarding,36.0,0.525315284729004,0.523885250091553,0.542793333530426
671,176462-56T,15.13,14-Jul-2021,102988-90P,240.0,affiliative,27.0,0.529521942138672,0.525737166404724,0.54401046037674
672,170011-00T,15.18,07-Apr-2021,50313-70P,1279.0,rewarding,34.0,0.511486172676086,0.519062519073486,0.533731818199158
673,160608-88T,15.22,02-Jun-2021,169464-97P,3919.0,,214.0,0.524370193481445,0.519201457500458,0.541508197784424
674,177327-73T,15.22,28-Jul-2021,54322-66P,19788.0,dominant,1679.0,0.511978626251221,0.514219343662262,0.528443396091461
675,166088-08T,15.29,24-Mar-2021,188345-08P,148.0,affiliative,16.0,0.537723481655121,0.518430888652802,0.542946636676788
676,170269-39T,15.29,12-Apr-2021,155765-26P,1195.0,,4.0,0.53631591796875,0.530217409133911,0.546888589859009
677,172814-41T,15.41,25-May-2021,40477-24P,17338.0,dominant,387.0,0.519781947135925,0.520539224147797,0.538010895252228
678,176076-37T,15.43,08-Jul-2021,153403-30P,3834.0,,54.0,0.50797426700592,0.513639509677887,0.536689221858978
679,181758-43T,15.44,14-Oct-2021,202951-54P,54.0,rewarding,14.0,0.537509858608246,0.525188565254211,0.544218719005585
680,179442-37T,15.51,01-Sep-2021,93229-84P,,,9.0,0.516522705554962,0.526050448417664,0.537853181362152
681,184526-38T,15.53,12-Nov-2021,273283-12P,325.0,rewarding,80.0,0.51826548576355,0.519900739192963,0.538363099098206
682,166169-35T,15.55,03-Feb-2021,211231-81P,1129.0,affiliative,3.0,0.524577915668488,0.512615442276001,0.535930633544922
683,186896-80T,15.60,01-Dec-2021,186050-35P,862.0,,22.0,0.534514009952545,0.51957643032074,0.547011971473694
684,167020-30T,15.67,18-Feb-2021,41291-74P,417.0,,35.0,0.515453636646271,0.512571275234222,0.529307544231415
685,174890-80T,15.69,23-Jun-2021,249378-94P,137.0,affiliative,37.0,0.515114665031433,0.518904268741608,0.54012930393219
686,175256-20T,15.71,11-Jun-2021,48398-23P,546.0,,26.0,0.527839303016663,0.521310806274414,0.542826056480408
687,171960-04T,15.77,30-Mar-2021,180310-60P,312.0,dominant,41.0,0.522743940353394,0.521822512149811,0.541930615901947
688,164867-95T,15.78,01-Dec-2021,237915-55P,36.0,affiliative,6.0,0.545608699321747,0.533804595470429,0.550934493541718
689,168751-90T,15.81,18-Mar-2021,179731-00P,122.0,,110.0,0.535991609096527,0.526031970977783,0.545793533325195
690,172440-73T,15.87,19-May-2021,167298-94P,644.0,affiliative,87.0,0.510287582874298,0.518192052841187,0.536572635173798
691,166542-22T,15.95,01-Jan-2021,35547-04P,29633.0,rewarding,1278.0,0.508528649806976,0.515780806541443,0.535935580730438
692,174400-57T,15.96,15-Jun-2021,41253-67P,1526.0,dominant,114.0,0.509926378726959,0.516210496425629,0.531247675418854
693,106445-26T,16.03,15-Apr-2021,65770-30P,8415.0,,36.0,0.532661199569702,0.512732207775116,0.537756264209747
694,183293-11T,16.11,26-Oct-2021,45693-91P,352.0,rewarding,1.0,0.486672013998032,0.511317074298859,0.521005094051361
695,180807-85T,16.12,28-Sep-2021,30759-31P,90.0,affiliative,24.0,0.523978650569916,0.517714381217957,0.538278639316559
696,165085-21T,16.15,26-Aug-2021,236881-99P,86.0,,114.0,0.524335145950317,0.514347314834595,0.537106931209564
697,181668-52T,16.29,13-Oct-2021,210536-29P,15.0,dominant,4.0,0.491416603326798,0.511144042015076,0.527952075004578
698,185095-09T,16.37,14-Dec-2021,181694-80P,1022.0,rewarding,16.0,0.531286597251892,0.52449381351471,0.536079287528992
699,174431-44T,16.42,15-Jun-2021,51054-85P,3703.0,dominant,183.0,0.50806075334549,0.512689471244812,0.530534148216248
700,122801-77T,16.43,19-Jan-2021,38353-51P,238.0,dominant,3.0,0.555016458034515,0.535475671291351,0.552087962627411
701,173601-91T,16.43,05-Jun-2021,239545-09P,376.0,rewarding,2.0,0.510456681251526,0.504543304443359,0.533205211162567
702,166056-85T,16.45,02-Feb-2021,74501-29P,6753.0,dominant,139.0,0.509668111801148,0.513402402400971,0.530686020851135
703,165825-10T,16.45,28-Jan-2021,182493-73P,300.0,rewarding,17.0,0.511703789234161,0.525283098220825,0.535680174827576
704,160790-86T,16.46,31-Jan-2021,204954-58P,53.0,affiliative,0.0,,,
705,168129-10T,16.47,09-Mar-2021,46373-86P,5.0,affiliative,0.0,,,
706,164564-38T,16.48,28-May-2021,206121-61P,706.0,dominant,409.0,0.509214043617249,0.515226006507874,0.530222713947296
707,172987-03T,16.48,28-May-2021,237213-73P,3120.0,,1.0,0.538190305233002,0.524973452091217,0.548211574554443
708,173323-54T,16.49,02-Jun-2021,211214-71P,1896.0,dominant,193.0,0.518399119377136,0.515768051147461,0.532366633415222
709,172853-65T,16.49,26-May-2021,188316-46P,9899.0,rewarding,98.0,0.514837920665741,0.518638014793396,0.534897565841675
710,170533-81T,16.50,25-May-2021,44829-10P,8393.0,,1590.0,0.528667509555817,0.517131865024567,0.541134119033814
711,171938-35T,16.51,11-May-2021,32530-69P,598.0,,88.0,0.530358254909515,0.517258107662201,0.543959856033325
712,166560-13T,16.52,10-Feb-2021,38645-47P,13705.0,rewarding,214.0,0.520650684833527,0.516315817832947,0.535494565963745
713,165750-22T,16.52,10-Feb-2021,36774-91P,340.0,affiliative,1.0,0.522581875324249,0.514115750789642,0.540057241916657
714,172489-96T,16.53,20-May-2021,81269-02P,855.0,dominant,159.0,0.507073640823364,0.517284274101257,0.53612357378006
